date,code,open,high,low,close,volume,amount,adjust_factor
2024-01-02,600000.SAMPLE,10.00,10.30,9.90,10.20,100000,1020000,1.0
2024-01-03,600000.SAMPLE,10.20,10.60,10.10,10.50,120000,1260000,1.0
2024-01-04,600000.SAMPLE,10.50,11.20,10.40,11.00,150000,1650000,1.0
2024-01-05,600000.SAMPLE,11.00,11.10,10.50,10.60,90000,954000,1.0
2024-01-08,600000.SAMPLE,10.60,10.80,10.00,10.10,100000,1010000,1.0
2024-01-09,600000.SAMPLE,10.10,10.10,9.60,9.70,130000,1261000,1.0
2024-01-10,600000.SAMPLE,9.70,9.90,9.40,9.50,110000,1045000,1.0
2024-01-11,600000.SAMPLE,9.50,10.40,9.40,10.30,140000,1442000,1.0
2024-01-12,600000.SAMPLE,10.30,10.90,10.20,10.80,125000,1350000,1.0
2024-01-15,600000.SAMPLE,10.80,11.30,10.70,11.20,130000,1456000,1.0
2024-01-16,600000.SAMPLE,11.20,12.00,11.10,11.90,160000,1904000,1.0
2024-01-17,600000.SAMPLE,11.90,12.20,11.70,11.80,110000,1298000,1.0
2024-01-18,600000.SAMPLE,11.80,11.90,10.80,10.90,140000,1526000,1.0
2024-01-19,600000.SAMPLE,10.90,11.00,10.40,10.50,90000,945000,1.0
2024-01-22,600000.SAMPLE,10.50,10.60,9.80,9.90,120000,1188000,1.0
